"","X.1","X","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","id","submitdate","lastpage","startlanguage","startdate","datestamp","infotext","isconsent","Zwischentext","UIS01.UIS18001.","UIS01.UIS18002.","UIS01.UIS18003.","UIS01.UIS18004.","UIS01.UIS18005.","UIS01.UIS18006.","UIS01.UIS18007.","UIS01.UIS18008.","UIS01.UIS18009.","UIS01.UIS18010.","UIS01.UIS18011.","UIS01.UIS18012.","UIS01.UIS18013.","UIS01.UIS18014.","UIS01.UIS18015.","UIS01.UIS18016.","UIS01.UIS18017.","UIS01.UIS18018.","DERS1.ders1.","DERS1.ders2.","DERS1.ders3.","DERS1.ders4.","DERS1.ders5.","DERS1.ders6.","DERS1.ders7.","DERS1.ders8.","DERS1.ders9.","DERS1.ders10.","DERS1.ders11.","DERS1.ders12.","DERS1.ders13.","DERS1.ders14.","DERS1.ders15.","DERS1.ders16.","DERS1.ders17.","DERS1.ders18.","DERS1.ders19.","DERS1.ders20.","DERS1.ders21.","DERS1.ders22.","DERS1.ders23.","DERS1.ders24.","DERS1.ders25.","DERS1.ders26.","DERS1.ders27.","DERS1.ders28.","DERS1.ders29.","DERS1.ders30.","DERS1.ders31.","DERS1.ders32.","DERS1.ders33.","DERS1.ders34.","DERS1.ders35.","DERS1.ders36.","labweiter","interviewtime","groupTime4854","infotextTime","isconsentTime","prolificidTime","studyidTime","sessionidTime","groupTime5063","prolificidmanualTime","groupTime4857","ZwischentextTime","groupTime4847","UIS01Time","groupTime4859","DERS1Time","groupTime4858","labweiterTime","DERS_GESAMT","DERS_K","DERS_A","DERS_I","DERS_N","DERS_V","DERS_S","UIS_B","UIS_A","UIS_C","UIS_GESAMT","participant_id"
"1",1,1,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",3095,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",160,"ANONYMIZED",5,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,2,3,2,4,4,2,2,1,2,2,2,4,1,3,2,1,2,3,2,3,1,2,2,3,2,3,1,3,3,2,5,2,2,2,3,5,1,5,2,3,2,2,2,5,2,3,2,2,3,1,5,4,3,1,NA,752,285.97,NA,NA,NA,NA,NA,NA,NA,22.94,NA,137.81,NA,286.74,NA,18.54,NA,94,9,19,9,13,25,19,13,10,19,42,23
"2",2,2,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",4986,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",162,"ANONYMIZED",5,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,2,2,1,3,3,2,4,3,3,4,2,1,3,2,2,1,2,4,2,4,1,3,1,5,4,5,1,5,2,2,3,1,3,3,4,3,1,3,2,4,4,2,1,2,1,2,1,1,1,1,1,5,1,1,NA,736.37,321.6,NA,NA,NA,NA,NA,NA,NA,21.94,NA,129.26,NA,242.67,NA,20.9,NA,86,11,28,7,12,12,16,12,19,13,44,25
"3",3,3,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",4009,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",161,"ANONYMIZED",5,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,2,4,5,5,5,5,3,4,2,2,5,4,3,5,5,2,2,2,2,2,3,1,1,2,2,1,3,2,5,5,5,4,3,3,2,4,4,2,5,2,4,3,4,4,3,3,5,4,4,3,3,2,3,5,NA,493.7,50.61,NA,NA,NA,NA,NA,NA,NA,3.89,NA,123.81,NA,311.91,NA,3.48,NA,113,9,11,20,28,18,27,17,19,29,65,24
"4",4,4,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",1845,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",164,"ANONYMIZED",5,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,2,2,2,3,3,2,3,1,2,3,3,2,3,3,2,4,3,2,4,2,4,3,3,2,4,2,3,3,3,2,4,4,4,3,2,4,4,3,3,2,4,4,2,4,4,3,2,4,3,4,4,4,3,4,NA,214.62,35.27,NA,NA,NA,NA,NA,NA,NA,1.78,NA,62.02,NA,113.24,NA,2.31,NA,117,17,15,24,16,19,26,15,14,16,45,26
"5",5,5,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",1823,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",165,"ANONYMIZED",5,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,4,3,4,4,3,3,3,4,3,3,5,4,3,2,3,3,3,2,3,2,2,3,4,2,3,2,4,3,3,4,3,2,2,3,3,4,3,4,4,3,4,3,4,3,3,5,4,4,3,2,2,4,3,3,NA,203.03,41.18,NA,NA,NA,NA,NA,NA,NA,14.17,NA,39.91,NA,95.63,NA,12.14,NA,113,17,16,15,23,16,26,19,19,21,59,27
"6",6,6,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",2941,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",166,"ANONYMIZED",5,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,3,4,4,5,4,3,4,2,3,2,3,2,2,4,2,1,3,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,5,2,2,2,1,2,1,1,2,1,2,1,2,NA,285.69,17.62,NA,NA,NA,NA,NA,NA,NA,33.78,NA,75.68,NA,146.66,NA,11.95,NA,64,9,10,15,11,9,10,17,15,21,53,28
"7",7,7,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",675,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",167,"ANONYMIZED",5,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,2,3,3,3,3,3,3,2,3,3,2,3,2,3,1,3,2,1,2,2,2,1,1,2,2,2,2,2,1,1,5,3,2,2,2,4,3,3,1,2,1,3,2,4,2,1,1,1,3,1,4,4,2,1,NA,138.59,11.29,NA,NA,NA,NA,NA,NA,NA,1.51,NA,45.42,NA,78.98,NA,1.39,NA,77,8,14,14,7,20,14,14,14,17,45,29
"8",8,8,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",2101,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",176,"ANONYMIZED",5,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,3,3,4,3,2,2,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,3,3,3,2,4,3,4,5,2,3,3,4,5,3,4,4,4,3,4,4,5,2,3,2,2,4,2,5,3,3,4,NA,378.33,17.36,NA,NA,NA,NA,NA,NA,NA,3.6,NA,166.39,NA,181.03,NA,9.95,NA,115,11,19,15,20,24,26,15,7,11,33,30
"9",9,9,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",2174,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",3,"ANONYMIZED",6,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,1,2,2,3,3,5,2,4,2,2,1,1,2,4,1,2,2,2,2,4,2,1,2,4,3,3,1,1,3,1,2,2,3,3,2,3,2,3,1,2,2,2,1,2,2,1,3,2,2,2,3,2,3,3,NA,260.37,78.59,NA,NA,NA,NA,NA,3.6,NA,5.01,NA,54.58,NA,110.81,NA,7.78,NA,80,9,16,12,11,13,19,11,13,17,41,41
"10",10,11,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",3150,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",5,"ANONYMIZED",6,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,2,4,3,3,2,3,2,1,1,2,3,2,2,3,4,3,4,3,2,3,3,1,2,2,2,4,1,1,2,1,4,3,3,4,2,3,3,3,1,2,2,4,1,4,2,3,2,1,4,3,5,4,3,4,NA,697,226.45,NA,NA,NA,NA,NA,5.96,NA,16.05,NA,112.24,NA,210.18,NA,126.12,NA,94,8,16,18,9,19,24,19,12,16,47,60
"11",11,12,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",2891,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",6,"ANONYMIZED",6,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,2,2,2,3,3,2,2,4,4,4,3,1,5,4,4,2,3,3,3,4,1,3,2,4,4,5,2,2,1,2,3,1,2,2,3,3,2,2,2,2,1,3,2,4,3,2,2,2,2,3,2,4,2,3,NA,436.67,91.49,NA,NA,NA,NA,NA,6.9,NA,18.83,NA,102.45,NA,191.9,NA,25.1,NA,90,14,22,13,10,14,17,14,23,16,53,66
"12",12,13,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",1942,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",7,"ANONYMIZED",6,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,5,4,3,4,5,5,2,2,3,4,4,2,2,4,4,3,3,4,2,2,4,2,2,1,2,1,4,2,4,3,3,3,2,4,2,4,4,2,4,2,4,2,4,4,4,4,4,3,4,4,3,4,3,4,NA,294.97,6.67,NA,NA,NA,NA,NA,6.65,NA,14.1,NA,167.04,NA,88.98,NA,11.53,NA,110,12,12,21,23,16,26,22,17,24,63,75
"13",13,14,"Not Applicable","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",1927,"ANONYMIZED","ANONYMIZED","ANONYMIZED",999,"ANONYMIZED","ANONYMIZED","ANONYMIZED","Germany","ANONYMIZED","ANONYMIZED","ANONYMIZED","ANONYMIZED",8,"ANONYMIZED",6,"de","ANONYMIZED","ANONYMIZED",NA,"A1",NA,1,3,2,2,2,4,2,4,3,3,2,3,4,2,5,1,3,1,4,4,3,2,4,4,4,2,4,3,2,3,1,3,1,2,4,3,2,2,1,3,1,2,2,2,2,1,3,2,3,1,2,3,1,2,NA,821.5,173.96,NA,NA,NA,NA,NA,5.01,NA,128.47,NA,151.37,NA,338.75,NA,23.94,NA,88,18,20,13,12,10,15,11,21,15,47,86
